Fold,P_on,P_off,QRS_on,QRS_off,T_on,T_off
1,0.7241126070991433,0.721501427988576,0.9707196029776675,0.9707196029776675,0.8275351591413768,0.8060695780903036
2,0.6550139832201358,0.6542149420695166,0.9886582211315249,0.9869337401339789,0.7869463226162551,0.7669380433282736
3,0.8082212713936431,0.8103606356968216,0.9928017331749248,0.9928017331749248,0.9088237454999634,0.9077951656748219
Mean,0.7291159539043074,0.728692335251638,0.9840598524280391,0.9834850254288571,0.8411017424191983,0.8269342623644663
